DiM,진화 전,진화 후,세대,속성,바이탈,PP/트로피,배틀수,승률,진화시간
다이너스티 오브 디 이블(임프몬)🚧,임프몬,고스몬,성숙기,바이러스,,,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,임프몬,데블몬,성숙기,바이러스,600,5,-,-,24시간
다이너스티 오브 디 이블(임프몬)🚧,임프몬,블랙버드라몬,성숙기,백신,1300,10,-,-,24시간
다이너스티 오브 디 이블(임프몬)🚧,임프몬,위자몬,성숙기,데이터,900,8,-,-,24시간
다이너스티 오브 디 이블(임프몬)🚧,블랙버드라몬,묘티스몬,완전체,바이러스,2500,10,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,데블몬,묘티스몬,완전체,바이러스,2500,10,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,데블몬,바알몬,완전체,프리,3000,12,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,위자몬,바알몬,완전체,프리,3000,12,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,블랙버드라몬,사이버드라몬(2010),완전체,백신,,,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,고스몬,사이버드라몬(2010),완전체,백신,,,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,데블몬,조커몬,완전체,바이러스,2000,8,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,위자몬,조커몬,완전체,바이러스,2000,8,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,블랙버드라몬,팬텀몬,완전체,바이러스,,,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,고스몬,팬텀몬,완전체,바이러스,,,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,고스몬,펌프몬,완전체,데이터,2000,8,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,위자몬,펌프몬,완전체,데이터,2000,8,-,-,36시간
다이너스티 오브 디 이블(임프몬)🚧,사이버드라몬(2010),네오묘티스몬,궁극체,바이러스,1200,8,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,팬텀몬,네오묘티스몬,궁극체,바이러스,1200,8,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,묘티스몬,네오묘티스몬,궁극체,바이러스,1200,8,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,팬텀몬,노블펌프몬,궁극체,데이터,4500,10,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,바알몬,노블펌프몬,궁극체,데이터,4500,10,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,펌프몬,노블펌프몬,궁극체,데이터,4500,10,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,조커몬,베르스타몬,궁극체,바이러스,4500,15,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,바알몬,베르제브몬,궁극체,바이러스,4500,15,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,사이버드라몬(2010),베르제브몬(2010),궁극체,바이러스,,,-,-,불명
다이너스티 오브 디 이블(임프몬)🚧,묘티스몬,피에몬,궁극체,바이러스,5000,20,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,펌프몬,피에몬,궁극체,바이러스,5000,20,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,조커몬,피에몬,궁극체,바이러스,5000,20,-,-,48시간
다이너스티 오브 디 이블(임프몬)🚧,베르제브몬,베르제브몬: 블래스트 모드,초궁극체,바이러스,8000,30,-,-,-
다이너스티 오브 디 이블(임프몬)🚧,키몬,야몬,유년기 II,백신,,,-,-,1시간
다이너스티 오브 디 이블(임프몬)🚧,키몬 알,키몬,유년기 I,백신,,,-,-,1시간
도루몬🚧,도리몬,도루몬,성장기,데이터,,,-,-,1시간
도루몬🚧,도루몬,데크스도루가몬,성숙기,바이러스,,,-,-,불명
도루몬🚧,도루몬,도루가몬,성숙기,데이터,1300,10,-,-,24시간
도루몬🚧,도루몬,라프타드라몬,성숙기,백신,,,-,-,불명
도루몬🚧,도루몬,상굴몬,성숙기,바이러스,,,-,-,불명
도루몬🚧,도루가몬,그레이드몬,완전체,백신,,,-,-,불명
도루몬🚧,라프타드라몬,그레이드몬,완전체,백신,,,-,-,불명
도루몬🚧,도루가몬,나이트몬,완전체,데이터,,,-,-,불명
도루몬🚧,상굴몬,나이트몬,완전체,데이터,,,-,-,불명
도루몬🚧,상굴몬,데크스도루그레몬,완전체,바이러스,,,-,-,불명
도루몬🚧,데크스도루가몬,데크스도루그레몬,완전체,바이러스,,,-,-,불명
도루몬🚧,도루가몬,도루그레몬,완전체,데이터,2500,10,-,-,36시간
도루몬🚧,라프타드라몬,도루그레몬,완전체,데이터,2500,10,-,-,36시간
도루몬🚧,상굴몬,메피스몬,완전체,바이러스,,,-,-,불명
도루몬🚧,데크스도루가몬,메피스몬,완전체,바이러스,,,-,-,불명
도루몬🚧,라프타드라몬,아스타몬,완전체,바이러스,2000,8,-,-,36시간
도루몬🚧,데크스도루가몬,아스타몬,완전체,바이러스,2000,8,-,-,36시간
도루몬🚧,나이트몬,그란드라큐몬,궁극체,바이러스,,,-,-,불명
도루몬🚧,아스타몬,그란드라큐몬,궁극체,바이러스,,,-,-,불명
도루몬🚧,메피스몬,그란드라큐몬,궁극체,바이러스,,,-,-,불명
도루몬🚧,아스타몬,데크스도루고라몬,궁극체,바이러스,,,-,-,불명
도루몬🚧,메피스몬,데크스도루고라몬,궁극체,바이러스,,,-,-,불명
도루몬🚧,데크스도루그레몬,데크스도루고라몬,궁극체,바이러스,,,-,-,불명
도루몬🚧,도루그레몬,도루고라몬,궁극체,데이터,5000,20,-,-,48시간
도루몬🚧,그레이드몬,도루고라몬,궁극체,데이터,5000,20,-,-,48시간
도루몬🚧,나이트몬,도루고라몬,궁극체,데이터,5000,20,-,-,48시간
도루몬🚧,도루그레몬,알파몬,궁극체,백신,7000,20,-,-,48시간
도루몬🚧,그레이드몬,알파몬,궁극체,백신,7000,20,-,-,48시간
도루몬🚧,나이트몬,알파몬,궁극체,백신,7000,20,-,-,48시간
도루몬🚧,알파몬,알파몬: 왕룡검,초궁극체,백신,8000,30,-,-,-
도루몬🚧,도도몬 알,도도몬,유년기 I,백신,,,-,-,1시간
도루몬🚧,도도몬,도리몬,유년기 II,백신,,,-,-,1시간
드라코닉 블레이즈(드라코몬)🚧,베이비드몬,드라코몬,성장기,데이터,,,-,-,1시간
드라코닉 블레이즈(드라코몬)🚧,드라코몬,다크티라노몬,성숙기,바이러스,1300,10,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,드라코몬,코어드라몬(녹),성숙기,바이러스,,,-,-,24시간
드라코닉 블레이즈(드라코몬)🚧,드라코몬,코어드라몬(청),성숙기,백신,900,8,-,-,24시간
드라코닉 블레이즈(드라코몬)🚧,드라코몬,태스크몬,성숙기,바이러스,600,5,-,-,24시간
드라코닉 블레이즈(드라코몬)🚧,코어드라몬(녹),그라운드라몬,완전체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,태스크몬,그라운드라몬,완전체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,코어드라몬(청),기가드라몬,완전체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,다크티라노몬,기가드라몬,완전체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,코어드라몬(청),메가드라몬,완전체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,코어드라몬(녹),메가드라몬,완전체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,다크티라노몬,메탈티라노몬,완전체,바이러스,2500,10,-,-,36시간
드라코닉 블레이즈(드라코몬)🚧,태스크몬,메탈티라노몬,완전체,바이러스,2500,10,-,-,36시간
드라코닉 블레이즈(드라코몬)🚧,코어드라몬(청),윙드라몬,완전체,백신,3000,12,-,-,36시간
드라코닉 블레이즈(드라코몬)🚧,코어드라몬(녹),윙드라몬,완전체,백신,3000,12,-,-,36시간
드라코닉 블레이즈(드라코몬)🚧,다크티라노몬,키메라몬,완전체,데이터,3000,12,-,-,36시간
드라코닉 블레이즈(드라코몬)🚧,태스크몬,키메라몬,완전체,데이터,3000,12,-,-,36시간
드라코닉 블레이즈(드라코몬)🚧,메가드라몬,다크드라몬,궁극체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,기가드라몬,다크드라몬,궁극체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,키메라몬,다크드라몬,궁극체,바이러스,,,-,-,불명
드라코닉 블레이즈(드라코몬)🚧,윙드라몬,브레이크드라몬,궁극체,바이러스,4500,15,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,메가드라몬,브레이크드라몬,궁극체,바이러스,4500,15,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,메탈티라노몬,브레이크드라몬,궁극체,바이러스,4500,15,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,윙드라몬,슬레이어드라몬,궁극체,백신,5000,20,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,그라운드라몬,슬레이어드라몬,궁극체,백신,5000,20,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,기가드라몬,슬레이어드라몬,궁극체,백신,5000,20,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,그라운드라몬,얼티메이트브라키몬,궁극체,데이터,4500,15,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,메탈티라노몬,얼티메이트브라키몬,궁극체,데이터,4500,15,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,키메라몬,얼티메이트브라키몬,궁극체,데이터,4500,15,-,-,48시간
드라코닉 블레이즈(드라코몬)🚧,슬레이어드라몬,엑자몬,초궁극체,데이터,,30,-,-,-
드라코닉 블레이즈(드라코몬)🚧,브레이크드라몬,엑자몬,초궁극체,데이터,,30,-,-,-
드라코닉 블레이즈(드라코몬)🚧,쁘띠몬,베이비드몬,유년기 II,백신,,,-,-,1시간
드라코닉 블레이즈(드라코몬)🚧,쁘띠몬 알,쁘띠몬,유년기 I,백신,,,-,-,1시간
레베몬 EX🚧,프리몬,가지몬,성장기,바이러스,,,-,-,1시간
레베몬 EX🚧,프리몬,레오르몬,성장기,백신,,,-,-,1시간
레베몬 EX🚧,가지몬,더스크몬,성숙기,프리,1300,10,-,-,24시간
레베몬 EX🚧,레오르몬,라이아몬,성숙기,백신,,,-,-,불명
레베몬 EX🚧,레오르몬,레베몬,성숙기,프리,,,-,-,불명
레베몬 EX🚧,가지몬,매드레오몬,성숙기,바이러스,,,-,-,24시간
레베몬 EX🚧,레베몬,라이히몬,완전체,프리,,,-,-,불명
레베몬 EX🚧,라이아몬,로더레오몬,완전체,백신,,,-,-,불명
레베몬 EX🚧,매드레오몬,로더레오몬,완전체,백신,,,-,-,불명
레베몬 EX🚧,더스크몬,베르그몬,완전체,프리,3000,12,-,-,36시간
레베몬 EX🚧,매드레오몬,스컬사탄몬,완전체,바이러스,,,-,-,불명
레베몬 EX🚧,더스크몬,스컬사탄몬,완전체,바이러스,,,-,-,불명
레베몬 EX🚧,레베몬,카이저레오몬,완전체,프리,,,-,-,불명
레베몬 EX🚧,라이아몬,카이저레오몬,완전체,프리,,,-,-,불명
레베몬 EX🚧,라이히몬,다이노타이거몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,베르그몬,다이노타이거몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,스컬사탄몬,다이노타이거몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,베르그몬,데스몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,스컬사탄몬,데스몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,카이저레오몬,샤벨레오몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,로더레오몬,샤벨레오몬,궁극체,데이터,,,-,-,불명
레베몬 EX🚧,카이저레오몬,에이션트스핑크스몬,궁극체,바이러스,,,-,-,불명
레베몬 EX🚧,로더레오몬,에이션트스핑크스몬,궁극체,바이러스,,,-,-,불명
레베몬 EX🚧,라이히몬,에이션트스핑크스몬,궁극체,바이러스,,,-,-,불명
레베몬 EX🚧,포포몬 알,포포몬,유년기 I,백신,,,-,-,1시간
레베몬 EX🚧,포포몬,프리몬,유년기 II,백신,,,-,-,1시간
루도몬🚧,캇킨몬,루도몬,성장기,데이터,,,-,-,1시간
루도몬🚧,캇킨몬,코만드라몬,성장기,바이러스,,,-,-,1시간
루도몬🚧,루도몬,델타몬,성숙기,바이러스,,,-,-,24시간
루도몬🚧,코만드라몬,델타몬,성숙기,바이러스,,,-,-,24시간
루도몬🚧,루도몬,실즈드라몬,성숙기,바이러스,900,8,-,-,24시간
루도몬🚧,코만드라몬,실즈드라몬,성숙기,바이러스,900,8,-,-,24시간
루도몬🚧,루도몬,티아루도몬,성숙기,데이터,1300,10,-,-,24시간
루도몬🚧,코만드라몬,하이코만드라몬,성숙기,바이러스,1300,10,-,-,24시간
루도몬🚧,티아루도몬,디지타몬,완전체,데이터,2500,10,-,-,36시간
루도몬🚧,델타몬,디지타몬,완전체,데이터,2500,10,-,-,36시간
루도몬🚧,티아루도몬,라이지루도몬,완전체,데이터,3000,12,-,-,36시간
루도몬🚧,실즈드라몬,라이지루도몬,완전체,데이터,3000,12,-,-,36시간
루도몬🚧,실즈드라몬,만티코어몬,완전체,바이러스,2000,8,-,-,36시간
루도몬🚧,델타몬,만티코어몬,완전체,바이러스,2000,8,-,-,36시간
루도몬🚧,실즈드라몬,카고드라몬,완전체,바이러스,,,-,-,불명
루도몬🚧,하이코만드라몬,카고드라몬,완전체,바이러스,,,-,-,불명
루도몬🚧,델타몬,탱크드라몬,완전체,바이러스,3000,12,-,-,36시간
루도몬🚧,하이코만드라몬,탱크드라몬,완전체,바이러스,3000,12,-,-,36시간
루도몬🚧,만티코어몬,다크드라몬,궁극체,바이러스,,,-,-,불명
루도몬🚧,탱크드라몬,다크드라몬,궁극체,바이러스,,,-,-,불명
루도몬🚧,디지타몬,데블타몬,궁극체,데이터,,,-,-,불명
루도몬🚧,만티코어몬,데블타몬,궁극체,데이터,,,-,-,불명
루도몬🚧,카고드라몬,브리가드라몬,궁극체,바이러스,,,-,-,불명
루도몬🚧,탱크드라몬,브리가드라몬,궁극체,바이러스,,,-,-,불명
루도몬🚧,라이지루도몬,브리웨루드라몬,궁극체,데이터,5000,20,-,-,48시간
루도몬🚧,카고드라몬,브리웨루드라몬,궁극체,데이터,5000,20,-,-,48시간
루도몬🚧,브리웨루드라몬,라그나로드몬,초궁극체,바이러스,8000,30,-,-,-
루도몬🚧,코츠코몬,캇킨몬,유년기 II,백신,,,-,-,1시간
루도몬🚧,코츠코몬 알,코츠코몬,유년기 I,백신,,,-,-,1시간
미스틱 페더(피요몬)🚧,어니몬,팔코몬(2006),성장기,백신,,,-,-,1시간
미스틱 페더(피요몬)🚧,어니몬,피요몬,성장기,백신,,,-,-,1시간
미스틱 페더(피요몬)🚧,피요몬,버드라몬,성숙기,백신,1300,10,-,-,24시간
미스틱 페더(피요몬)🚧,피요몬,썬더버드몬,성숙기,데이터,900,8,-,-,24시간
미스틱 페더(피요몬)🚧,팔코몬(2006),썬더버드몬,성숙기,데이터,900,8,-,-,24시간
미스틱 페더(피요몬)🚧,피요몬,키위몬,성숙기,데이터,0,0,-,-,24시간
미스틱 페더(피요몬)🚧,팔코몬(2006),키위몬,성숙기,데이터,0,0,-,-,24시간
미스틱 페더(피요몬)🚧,팔코몬(2006),펙크몬,성숙기,백신,1300,10,-,-,24시간
미스틱 페더(피요몬)🚧,버드라몬,가루다몬,완전체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,키위몬,가루다몬,완전체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,버드라몬,뿌띠몬,완전체,데이터,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,키위몬,뿌띠몬,완전체,데이터,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,키위몬,신드라몬,완전체,데이터,2000,8,-,-,36시간
미스틱 페더(피요몬)🚧,펙크몬,신드라몬,완전체,데이터,2000,8,-,-,36시간
미스틱 페더(피요몬)🚧,썬더버드몬,야타가라몬(2006),완전체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,펙크몬,야타가라몬(2006),완전체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,썬더버드몬,크로우몬,완전체,바이러스,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,펙크몬,크로우몬,완전체,바이러스,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,버드라몬,패롯몬,완전체,백신,3000,12,-,-,불명
미스틱 페더(피요몬)🚧,썬더버드몬,패롯몬,완전체,백신,3000,12,-,-,불명
미스틱 페더(피요몬)🚧,패롯몬,레이브몬,궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,크로우몬,레이브몬,궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,야타가라몬(2006),레이브몬,궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,뿌띠몬,발두르몬,궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,크로우몬,발두르몬,궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,야타가라몬(2006),발두르몬,궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,가루다몬,주작몬,궁극체,바이러스,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,뿌띠몬,주작몬,궁극체,바이러스,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,신드라몬,주작몬,궁극체,바이러스,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,패롯몬,호루스몬,궁극체,프리,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,가루다몬,호루스몬,궁극체,프리,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,신드라몬,호루스몬,궁극체,프리,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,레이브몬,레이브몬: 버스트 모드,초궁극체,백신,1200,8,-,-,불명
미스틱 페더(피요몬)🚧,새싹몬 알,새싹몬,유년기 I,백신,,,-,-,1시간
미스틱 페더(피요몬)🚧,새싹몬,어니몬,유년기 II,백신,,,-,-,1시간
솔라 세이버즈(아구몬s)🚧,코로몬,아구몬(2006),성장기,백신,,,-,-,1시간
솔라 세이버즈(아구몬s)🚧,아구몬(2006),그레이몬O,성숙기,바이러스,900,3,-,-,24시간
솔라 세이버즈(아구몬s)🚧,아구몬(2006),사이크로몬,성숙기,바이러스,,,-,-,24시간
솔라 세이버즈(아구몬s)🚧,아구몬(2006),지오그레이몬,성숙기,백신,,,-,-,불명
솔라 세이버즈(아구몬s)🚧,아구몬(2006),티라노몬,성숙기,데이터,,,-,-,불명
솔라 세이버즈(아구몬s)🚧,지오그레이몬,라이즈그레이몬,완전체,백신,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,그레이몬O,라이즈그레이몬,완전체,백신,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,그레이몬O,마스터티라노몬,완전체,백신,,,-,-,불명
솔라 세이버즈(아구몬s)🚧,티라노몬,마스터티라노몬,완전체,백신,,,-,-,불명
솔라 세이버즈(아구몬s)🚧,지오그레이몬,브라키몬,완전체,데이터,,,-,-,불명
솔라 세이버즈(아구몬s)🚧,티라노몬,브라키몬,완전체,데이터,,,-,-,불명
솔라 세이버즈(아구몬s)🚧,지오그레이몬,스컬그레이몬,완전체,바이러스,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,사이크로몬,스컬그레이몬,완전체,바이러스,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,티라노몬,엑스티라노몬,완전체,백신,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,사이크로몬,엑스티라노몬,완전체,백신,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,그레이몬O,트리케라몬,완전체,데이터,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,사이크로몬,트리케라몬,완전체,데이터,,,-,-,36시간
솔라 세이버즈(아구몬s)🚧,라이즈그레이몬,건드라몬,궁극체,바이러스,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,스컬그레이몬,건드라몬,궁극체,바이러스,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,마스터티라노몬,건드라몬,궁극체,바이러스,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,마스터티라노몬,다이노렉스몬,궁극체,데이터,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,브라키몬,다이노렉스몬,궁극체,데이터,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,트리케라몬,다이노렉스몬,궁극체,데이터,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,엑스티라노몬,매그너키드몬,궁극체,바이러스,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,브라키몬,매그너키드몬,궁극체,바이러스,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,트리케라몬,매그너키드몬,궁극체,바이러스,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,라이즈그레이몬,샤인그레이몬,궁극체,백신,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,스컬그레이몬,샤인그레이몬,궁극체,백신,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,엑스티라노몬,샤인그레이몬,궁극체,백신,,,-,-,48시간
솔라 세이버즈(아구몬s)🚧,샤인그레이몬,샤인그레이몬: 루인모드,초궁극체,백신,6000,25,-,-,3시간
솔라 세이버즈(아구몬s)🚧,샤인그레이몬,샤인그레이몬: 버스트 모드,초궁극체,백신,7000,30,-,-,3시간
솔라 세이버즈(아구몬s)🚧,깜몬 알,깜몬,유년기 I,-,,,-,-,1시간
솔라 세이버즈(아구몬s)🚧,깜몬,코로몬,유년기 II,-,,,-,-,1시간
아구몬 EX,코로몬,아구몬,성장기,백신,,,-,-,1시간
아구몬 EX,아구몬,그레이몬,성숙기,백신,1200,5,-,-,24시간
아구몬 EX,아구몬,실러컨몬,성숙기,데이터,0,0,-,-,24시간
아구몬 EX,아구몬,아르고몬,성숙기,바이러스,800,5,-,-,24시간
아구몬 EX,아구몬,우가몬,성숙기,백신,500,3,-,-,24시간
아구몬 EX,실러컨몬,네오데블몬,완전체,바이러스,2000,6,-,-,36시간
아구몬 EX,우가몬,네오데블몬,완전체,바이러스,2000,6,-,-,36시간
아구몬 EX,그레이몬,메탈그레이몬,완전체,백신,1200,5,-,-,36시간
