"DiM","현재 디지몬","현재 세대","속성","진화 대상","목표 세대","진화 시간","필요 바이탈","필요 PP","배틀 횟수","필요 승률(%)","던전 ★★★","조그레스","필요 아이템/캡슐","비고"
"파피몬 EX","크레스가루몬","궁극체","DATA","오메가몬 alter-S","초궁극체","-","8000","30","320","70%","-","블리츠그레이몬,크레스가루몬","-",""
"아구몬 EX","워그레이몬","궁극체","VACCINE","오메가몬","초궁극체","-","8000","30","320","70%","-","워그레이몬,메탈가루몬","",""
"아구몬 EX","오메가몬","초궁극체","VACCINE","오메가몬(X항체)","초궁극체II","-","8000","30","320","70%","-","","X항체",""
"아구몬 EX","메탈그레이몬","완전체","VACCINE","워그레이몬","궁극체","48시간","5000","10","160","70%","-","-","-",""
"아구몬 EX","스콜피오몬","완전체","DATA","워그레이몬","궁극체","48시간","5000","10","160","70%","-","-","-",""
"아구몬 EX","메탈티라노몬","완전체","VIRUS","워그레이몬","궁극체","48시간","5000","10","160","70%","-","-","-",""
"아구몬 EX","안드로몬","완전체","VACCINE","워그레이몬","궁극체","48시간","5000","10","160","70%","-","-","-",""
"파피몬 EX","푸니몬 알","디지타마","VACCINE","푸니몬","유년기 I","1시간","","","","","-","-","-",""
"파피몬 EX","푸니몬","유년기 I","-","뿔몬","유년기 II","1시간","","","","","-","-","-",""
"파피몬 EX","뿔몬","유년기 II","-","파피몬","성장기","1시간","","","","","-","-","-",""
"파피몬 EX","파피몬","성장기","DATA","가루몬","성숙기","24시간","1200","5","48","","-","-","-",""
"파피몬 EX","파피몬","성장기","DATA","고릴라몬","성숙기","24시간","","","","","-","-","-",""
"파피몬 EX","파피몬","성장기","DATA","아르고몬","성숙기","24시간","800","5","18","","-","-","-",""
"파피몬 EX","파피몬","성장기","DATA","스파이더몬","성숙기","24시간","","","","","-","-","-",""
"파피몬 EX","가루몬","성숙기","VACCINE","워가루몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"파피몬 EX","가루몬","성숙기","VACCINE","밸브몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"파피몬 EX","가루몬","성숙기","VACCINE","데블시드라몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"파피몬 EX","고릴라몬","성숙기","DATA","밸브몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"파피몬 EX","고릴라몬","성숙기","DATA","패롯몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"파피몬 EX","고릴라몬","성숙기","DATA","오로치몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"파피몬 EX","아르고몬","성숙기","VIRUS","워가루몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"파피몬 EX","아르고몬","성숙기","VIRUS","데블시드라몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"파피몬 EX","아르고몬","성숙기","VIRUS","빅콩알몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"파피몬 EX","패롯몬","완전체","VACCINE","오로치몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"파피몬 EX","스파이더몬","성숙기","VIRUS","패롯몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"파피몬 EX","스파이더몬","성숙기","VIRUS","오로치몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"파피몬 EX","스파이더몬","성숙기","VIRUS","빅콩알몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"파피몬 EX","워가루몬","완전체","VACCINE","메탈가루몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"파피몬 EX","워가루몬","완전체","VACCINE","크레스가루몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"파피몬 EX","밸브몬","완전체","DATA","메탈가루몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"파피몬 EX","밸브몬","완전체","DATA","크레스가루몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"파피몬 EX","데블시드라몬","완전체","VACCINE","메탈가루몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"파피몬 EX","데블시드라몬","완전체","VACCINE","크레스가루몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"파피몬 EX","패롯몬","완전체","VACCINE","메탈가루몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"파피몬 EX","패롯몬","완전체","VACCINE","니즈헤그몬","궁극체","48시간","7000","15","120","70%","던전 ★★★","-","-",""
"파피몬 EX","오로치몬","완전체","VIRUS","니즈헤그몬","궁극체","48시간","7000","15","120","70%","던전 ★★★","-","-",""
"파피몬 EX","오로치몬","완전체","VIRUS","크레스가루몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"파피몬 EX","빅콩알몬","완전체","DATA","니즈헤그몬","궁극체","48시간","7000","15","120","70%","던전 ★★★","-","-",""
"파피몬 EX","빅콩알몬","완전체","DATA","크레스가루몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"감마몬🚧","쿠리몬알","디지타마","VACCINE","쿠리몬","유년기 I","1시간","","","","","-","-","-",""
"감마몬🚧","쿠리몬","유년기 I","VACCINE","구리몬","유년기 II","1시간","","","","","-","-","-",""
"감마몬🚧","구리몬","유년기 II","VACCINE","감마몬","성장기","1시간","","","","","-","-","-",""
"감마몬🚧","감마몬","성장기","VIRUS","베텔감마몬","성숙기","24시간","1100","10","48","","-","-","-",""
"감마몬🚧","감마몬","성장기","VIRUS","카우스감마몬","성숙기","24시간","900","8","30","","-","-","-",""
"감마몬🚧","감마몬","성장기","VIRUS","웨즌감마몬","성숙기","24시간","600","5","18","","-","-","-",""
"감마몬🚧","감마몬","성장기","VIRUS","그루스감마몬","성숙기","24시간","","","","","-","-","-",""
"감마몬🚧","베텔감마몬","성숙기","VACCINE","카노바이스몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"감마몬🚧","베텔감마몬","성숙기","VACCINE","후우마몬","완전체","36시간","1500","6","64","40%","-","-","-",""
"감마몬🚧","베텔감마몬","성숙기","VACCINE","보머몬","완전체","36시간","","","","","-","-","-",""
"감마몬🚧","카우스감마몬","성숙기","DATA","카노바이스몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"감마몬🚧","카우스감마몬","성숙기","DATA","길리두몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"감마몬🚧","카우스감마몬","성숙기","DATA","후우마몬","완전체","36시간","1500","6","64","40%","-","-","-",""
"감마몬🚧","웨즌감마몬","성숙기","DATA","보머몬","완전체","36시간","","","","","-","-","-",""
"감마몬🚧","웨즌감마몬","성숙기","DATA","잔메츠몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"감마몬🚧","웨즌감마몬","성숙기","DATA","길리두몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"감마몬🚧","그루스감마몬","성숙기","VIRUS","레굴루스몬","완전체","36시간","3500","15","120","70%","-","-","-",""
"감마몬🚧","레굴루스몬","완전체","VIRUS","아크투루스몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"감마몬🚧","시리우스몬","궁극체","VACCINE","프록시마몬","초궁극체","-","8000","30","320","70%","-","시리우스몬,아크투루스몬","-",""
"감마몬🚧","아크투루스몬","궁극체","VIRUS","프록시마몬","초궁극체","-","8000","30","320","70%","-","시리우스몬,아크투루스몬","-",""
"감마몬🚧","잔메츠몬","완전체","VIRUS","스피노몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"감마몬🚧","잔메츠몬","완전체","VIRUS","아크투루스몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"감마몬🚧","보머몬","완전체","VIRUS","스피노몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"감마몬🚧","후우마몬","완전체","DATA","이지스드라몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"감마몬🚧","길리두몬","완전체","DATA","시리우스몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"감마몬🚧","길리두몬","완전체","DATA","이지스드라몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"감마몬🚧","카노바이스몬","완전체","VACCINE","시리우스몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"길몬 EX","쟈리몬 알","디지타마","VACCINE","쟈리몬","유년기 I","1시간","","","","","-","-","-",""
"길몬 EX","쟈리몬","유년기 I","VACCINE","기기몬","유년기 II","1시간","","","","","-","-","-",""
"길몬 EX","기기몬","유년기 II","VACCINE","길몬","성장기","1시간","","","","","-","-","-",""
"길몬 EX","길몬","성장기","VIRUS","시사몬","성숙기","24시간","600","85","18","","-","-","-",""
"길몬 EX","길몬","성장기","VIRUS","그라우몬(황)","성숙기","24시간","900","8","30","","-","-","-",""
"길몬 EX","길몬","성장기","VIRUS","데블드라몬","성숙기","24시간","","","","","-","-","-",""
"길몬 EX","길몬","성장기","VIRUS","그라우몬","성숙기","24시간","1300","10","48","","-","-","-",""
"길몬 EX","시사몬","성숙기","VACCINE","바지라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"길몬 EX","시사몬","성숙기","VACCINE","마지라몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"길몬 EX","시사몬","성숙기","VACCINE","미히라몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"길몬 EX","그라우몬(황)","성숙기","DATA","메가로그라우몬(황)","완전체","36시간","2500","10","80","50%","-","-","-",""
"길몬 EX","그라우몬(황)","성숙기","DATA","미히라몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"길몬 EX","그라우몬(황)","성숙기","DATA","메가로그라우몬","완전체","36시간","3000","12","120","50%","-","-","-",""
"길몬 EX","데블드라몬","성숙기","VIRUS","바지라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"길몬 EX","데블드라몬","성숙기","VIRUS","마지라몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"길몬 EX","데블드라몬","성숙기","VIRUS","산티라몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"길몬 EX","그라우몬","성숙기","VIRUS","메가로그라우몬","완전체","36시간","3000","12","120","50%","-","-","-",""
"길몬 EX","그라우몬","성숙기","VIRUS","산티라몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"길몬 EX","그라우몬","성숙기","VIRUS","메가로그라우몬(황)","완전체","36시간","2500","10","80","50%","-","-","-",""
"길몬 EX","바지라몬","완전체","VACCINE","듀크몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"길몬 EX","바지라몬","완전체","VACCINE","메디벌듀크몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"길몬 EX","메가로그라우몬(황)","완전체","DATA","듀크몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"길몬 EX","메가로그라우몬(황)","완전체","DATA","메디벌듀크몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"길몬 EX","마지라몬","완전체","DATA","메디벌듀크몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"길몬 EX","마지라몬","완전체","DATA","메기드라몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"길몬 EX","미히라몬","완전체","DATA","듀크몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"길몬 EX","미히라몬","완전체","DATA","카오스듀크몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"길몬 EX","메가로그라우몬","완전체","VIRUS","카오스듀크몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"길몬 EX","메가로그라우몬","완전체","VIRUS","듀크몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"길몬 EX","산티라몬","완전체","VIRUS","카오스듀크몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"길몬 EX","산티라몬","완전체","VIRUS","메기드라몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"길몬 EX","듀크몬","궁극체","VIRUS","듀크몬: 크림슨 모드","초궁극체","-","8000","30","320","70%","-","-","그라니",""
"길몬 EX","듀크몬","궁극체","VIRUS","듀크몬(X항체)","초궁극체","-","8000","30","320","70%","-","-","X항체",""
"미스틱 페더(피요몬)🚧","새싹몬 알","디지타마","VACCINE","새싹몬","유년기 I","1시간","","","","","-","-","-",""
"미스틱 페더(피요몬)🚧","새싹몬","유년기 I","VACCINE","어니몬","유년기 II","1시간","","","","","-","-","-",""
"미스틱 페더(피요몬)🚧","어니몬","유년기 II","VACCINE","피요몬","성장기","1시간","","","","","-","-","-",""
"미스틱 페더(피요몬)🚧","어니몬","유년기 II","VACCINE","팔코몬(2006)","성장기","1시간","","","","","-","-","-",""
"미스틱 페더(피요몬)🚧","피요몬","성장기","VACCINE","버드라몬","성숙기","24시간","1300","10","48","","-","-","-",""
"미스틱 페더(피요몬)🚧","피요몬","성장기","VACCINE","썬더버드몬","성숙기","24시간","900","8","30","","-","-","-",""
"미스틱 페더(피요몬)🚧","피요몬","성장기","VACCINE","키위몬","성숙기","24시간","","","","","-","-","-",""
"미스틱 페더(피요몬)🚧","팔코몬(2006)","성장기","VACCINE","썬더버드몬","성숙기","24시간","900","8","30","","-","-","-",""
"미스틱 페더(피요몬)🚧","팔코몬(2006)","성장기","VACCINE","키위몬","성숙기","24시간","","","","","-","-","-",""
"미스틱 페더(피요몬)🚧","팔코몬(2006)","성장기","VACCINE","펙크몬","성숙기","24시간","1300","10","48","","-","-","-",""
"미스틱 페더(피요몬)🚧","버드라몬","성숙기","VACCINE","패롯몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"미스틱 페더(피요몬)🚧","버드라몬","성숙기","VACCINE","가루다몬","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","버드라몬","성숙기","VACCINE","뿌띠몬","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","썬더버드몬","성숙기","DATA","패롯몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"미스틱 페더(피요몬)🚧","썬더버드몬","성숙기","DATA","크로우몬","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","썬더버드몬","성숙기","DATA","야타가라몬(2006)","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","키위몬","성숙기","DATA","가루다몬","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","키위몬","성숙기","DATA","뿌띠몬","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","키위몬","성숙기","DATA","신드라몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"미스틱 페더(피요몬)🚧","펙크몬","성숙기","VACCINE","신드라몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"미스틱 페더(피요몬)🚧","펙크몬","성숙기","VACCINE","야타가라몬(2006)","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","펙크몬","성숙기","VACCINE","크로우몬","완전체","36시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","패롯몬","완전체","VACCINE","호루스몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","패롯몬","완전체","VACCINE","레이브몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","레이브몬","궁극체","VACCINE","레이브몬: 버스트 모드","초궁극체","-","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","가루다몬","완전체","VACCINE","호루스몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","가루다몬","완전체","VACCINE","주작몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","뿌띠몬","완전체","DATA","주작몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","뿌띠몬","완전체","DATA","발두르몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","크로우몬","완전체","VIRUS","레이브몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","크로우몬","완전체","VIRUS","발두르몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","야타가라몬(2006)","완전체","VACCINE","레이브몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","야타가라몬(2006)","완전체","VACCINE","발두르몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","신드라몬","완전체","DATA","호루스몬","궁극체","48시간","1200","8","","","-","-","-",""
"미스틱 페더(피요몬)🚧","신드라몬","완전체","DATA","주작몬","궁극체","48시간","1200","8","","","-","-","-",""
"감마몬🚧","그루스감마몬","성숙기","VIRUS","잔메츠몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","유라몬 알","디지타마","VACCINE","유라몬","유년기 I","1시간","","","","","-","-","-",""
"허밋 인 더 정글(팔몬)","유라몬","유년기 I","VACCINE","시드몬","유년기 II","1시간","","","","","-","-","-",""
"허밋 인 더 정글(팔몬)","시드몬","유년기 II","VACCINE","팔몬","성장기","1시간","","","","","-","-","-",""
"허밋 인 더 정글(팔몬)","시드몬","유년기 II","VACCINE","라라몬","성장기","1시간","","","","","-","-","-",""
"허밋 인 더 정글(팔몬)","팔몬","성장기","DATA","니드몬","성숙기","24시간","1300","10","48","","-","-","-",""
"허밋 인 더 정글(팔몬)","팔몬","성장기","DATA","파라사우몬","성숙기","24시간","900","8","30","","-","-","-",""
"허밋 인 더 정글(팔몬)","팔몬","성장기","DATA","베지몬","성숙기","24시간","600","5","18","","-","-","-",""
"허밋 인 더 정글(팔몬)","팔몬","성장기","DATA","스나이몬","성숙기","24시간","1300","10","48","","-","-","-",""
"허밋 인 더 정글(팔몬)","라라몬","성장기","DATA","파라사우몬","성숙기","24시간","900","8","30","","-","-","-",""
"허밋 인 더 정글(팔몬)","라라몬","성장기","DATA","베지몬","성숙기","24시간","600","5","18","","-","-","-",""
"허밋 인 더 정글(팔몬)","라라몬","성장기","DATA","해바라기몬","성숙기","24시간","1300","10","48","","-","-","-",""
"허밋 인 더 정글(팔몬)","라라몬","성장기","DATA","스나이몬","성숙기","24시간","1300","10","48","","-","-","-",""
"허밋 인 더 정글(팔몬)","니드몬","성숙기","DATA","릴리몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","니드몬","성숙기","DATA","주엘비몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","니드몬","성숙기","DATA","트로피아몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","파라사우몬","성숙기","VIRUS","릴리몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","파라사우몬","성숙기","VIRUS","아야타라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","파라사우몬","성숙기","VIRUS","트로피아몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","베지몬","성숙기","VIRUS","아야타라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","베지몬","성숙기","VIRUS","브롯사몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","베지몬","성숙기","VIRUS","라일라몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","해바라기몬","성숙기","DATA","주엘비몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","해바라기몬","성숙기","DATA","브롯사몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","해바라기몬","성숙기","DATA","라일라몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","스나이몬","성숙기","VACCINE","아라크네몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","스나이몬","성숙기","VACCINE","브롯사몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","스나이몬","성숙기","VACCINE","주엘비몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","릴리몬","완전체","DATA","블룸로드몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","릴리몬","완전체","DATA","로제몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","로제몬","궁극체","DATA","로제몬: 버스트 모드","초궁극체","3시간","7000","25","240","70%","던전★★★","-","빨간색 디지바이스 버스트",""
"허밋 인 더 정글(팔몬)","로제몬","궁극체","DATA","라플레시몬","초궁극체","3시간","8000","30","320","70%","-","로터스몬","-",""
"허밋 인 더 정글(팔몬)","주엘비몬","완전체","VACCINE","블룸로드몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","주엘비몬","완전체","VACCINE","로제몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","아야타라몬","완전체","VACCINE","블룸로드몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","아야타라몬","완전체","VACCINE","스피노몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","트로피아몬","완전체","VIRUS","스피노몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","트로피아몬","완전체","VIRUS","히드라몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"허밋 인 더 정글(팔몬)","브롯사몬","완전체","DATA","스피노몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"허밋 인 더 정글(팔몬)","브롯사몬","완전체","DATA","히드라몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"허밋 인 더 정글(팔몬)","라일라몬","완전체","DATA","로제몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"허밋 인 더 정글(팔몬)","아라크네몬","완전체","VIRUS","히드라몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"허밋 인 더 정글(팔몬)","아라크네몬","완전체","VIRUS","로제몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","치코몬 알","디지타마","VACCINE","치코몬","유년기 I","1시간","","","","","-","-","-",""
"에인션트 워리어즈(브이몬)","치코몬","유년기 I","VACCINE","꼬마몬","유년기 II","1시간","","","","","-","-","-",""
"에인션트 워리어즈(브이몬)","꼬마몬","유년기 II","VACCINE","브이몬","성장기","1시간","","","","","-","-","-",""
"에인션트 워리어즈(브이몬)","브이몬","성장기","FREE","번개드라몬","성숙기","24시간","","","","","-","-","우정의 캡슐",""
"에인션트 워리어즈(브이몬)","브이몬","성장기","FREE","엑스브이몬","성숙기","24시간","800","5","18","","-","-","-",""
"에인션트 워리어즈(브이몬)","브이몬","성장기","FREE","화염드라몬","성숙기","24시간","500","3","","","-","-","용기의 캡슐",""
"에인션트 워리어즈(브이몬)","브이몬","성장기","FREE","브이드라몬","성숙기","24시간","1200","8","48","","-","-","-",""
"에인션트 워리어즈(브이몬)","번개드라몬","성숙기","FREE","디지타몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","번개드라몬","성숙기","FREE","사수몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","엑스브이몬","성숙기","FREE","골드브이드라몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","엑스브이몬","성숙기","FREE","파일드라몬","완전체","36시간","3000","12","120","70%","-","스팅몬","-",""
"에인션트 워리어즈(브이몬)","화염드라몬","성숙기","FREE","디지타몬","완전체","36시간","2000","6","80","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","화염드라몬","성숙기","FREE","사수몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","브이드라몬","성숙기","VACCINE","사수몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"에인션트 워리어즈(브이몬)","브이드라몬","성숙기","VACCINE","에어로브이드라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"에인션트 워리어즈(브이몬)","브이드라몬","성숙기","VACCINE","골드브이드라몬","완전체","36시간","2000","6","80","50%","-","-","-",""
